title,domestic_revenue,world_revenue,distributor,opening_revenue,opening_theaters,budget,MPAA,genres,release_days
Greener Grass,"$51,456","$71,838",IFC Films,"$9,305",2,N/A,N/A,Comedy,116
QT8: The First Eight,"$51,896","$85,719",Fathom Events,N/A,N/A,N/A,N/A,Documentary,113
Yardie,"$36,012","$1,551,163",Rialto Pictures,"$22,056",77,N/A,N/A,"Crime,Drama",333
Jim Allison: Breakthrough,"$87,984","$87,984",Dada Films,"$8,679",3,N/A,PG-13,Documentary,137
Loro,"$35,613","$35,613",IFC Films,"$5,317",1,N/A,N/A,"Biography,Drama",144
Britt-Marie Was Here,"$36,549","$168,862",Cohen Media Group,"$4,090",3,N/A,N/A,"Comedy,Drama,Sport",144
Buñuel in the Labyrinth of the Turtles,"$36,205","$195,976",GKIDS,"$5,691",2,N/A,N/A,"Animation,Biography,Drama,History",179
The Death of Dick Long,"$36,856","$36,856",A24,"$26,630",30,N/A,R,"Comedy,Crime,Drama",137
High on the Hog,"$45,696","$45,696",Indican Pictures,"$15,125",5,N/A,N/A,"Action,Crime,Drama,Thriller",298
The Quiet One,"$37,010","$37,010",IFC Films,"$7,695",6,N/A,N/A,"Documentary,Music",235
One Cut of the Dead,"$52,406","$27,590,180",Variance Films,"$6,360",2,N/A,N/A,"Comedy,Horror",151
Midnight Diner,"$18,555","$3,412,771",Well Go USA Entertainment,"$10,861",13,N/A,N/A,Drama,144
Night School,"$77,339,130","$103,105,878",Universal Pictures,"$27,257,615","3,010","$29,000,000",PG-13,Comedy,460
Making Waves: The Art of Cinematic Sound,"$53,144","$63,998",Matson Films,"$12,348",3,N/A,N/A,Documentary,109
The Sower,"$36,233","$433,112",Film Movement,"$4,128",2,N/A,N/A,"Drama,Romance",347
Grass,"$8,084","$53,503",The Cinema Guild,"$2,774",1,N/A,N/A,Drama,298
The Etruscan Smile,"$8,213","$8,213",Lightyear Entertainment,"$6,729",4,N/A,R,Drama,95
The Dead Center,"$8,320","$8,320",Arrow Films,"$5,325",10,N/A,N/A,"Horror,Mystery,Thriller",123
Before Stonewall,"$18,724","$18,724",First Run,"$4,588",1,N/A,N/A,"Documentary,History",235
The Return of Martin Guerre,"$18,603","$18,603",Cohen Media Group,"$8,682",2,N/A,N/A,"Biography,Crime,Drama,History,Mystery,Romance",221
Black Mother,"$18,762","$25,919",Grasshopper Film,N/A,N/A,N/A,N/A,Documentary,339
Hollywould,"$11,888","$11,888",Indican Pictures,"$5,290",2,N/A,N/A,"Crime,Mystery,Thriller",88
The Royal Wedding: Prince Harry and Meghan Markle,"$50,264","$50,264",Fathom Events,"$50,264",194,N/A,N/A,Documentary,227
Wings of Desire,"$123,830","$123,830",Janus Films,"$12,885",1,N/A,N/A,"Drama,Fantasy,Romance",439
The Snowman Trek,"$51,743","$51,743",Fathom Events,N/A,N/A,N/A,N/A,Documentary,229
Jumanji/Jumanji: Welcome to the Jungle,"$49,381","$49,381",Fathom Events,"$32,264",335,N/A,N/A,N/A,205
Over the Limit,"$3,243","$3,243",Film Movement,"$1,402",1,N/A,N/A,"Documentary,Sport",446
Detour,"$16,172","$16,172",Janus Films,"$5,127",1,N/A,N/A,"Crime,Drama,Film-Noir",397
Divide and Conquer: The Story of Roger Ailes,"$38,510","$38,510",Magnolia Pictures,"$18,833",15,N/A,N/A,Documentary,390
A German Youth,"$2,343","$2,343",Big World Pictures,$416,1,N/A,N/A,Documentary,123
Dying to Survive,"$6,752","$6,752",China Lion Film Distribution,"$3,238",2,N/A,N/A,"Comedy,Drama",186
Jihadists,"$2,104","$2,104",Cinema Libre Studio,$824,1,N/A,N/A,"Documentary,War",341
The Day After,"$24,746","$166,022",The Cinema Guild,"$3,727",1,N/A,N/A,"Drama,Romance",235
Wanda,"$51,713","$51,713",Janus Films,"$10,679",1,N/A,N/A,"Crime,Drama",165
Far from Vietnam,"$8,132","$8,132",Icarus Films,"$1,125",1,N/A,N/A,"Documentary,Drama,War","1,952"
A Man Vanishes,"$6,201","$6,201",Icarus Films,"$1,576",2,N/A,N/A,Documentary,"2,238"
Tosca's Kiss,"$18,236","$18,236",Icarus Films,$418,1,N/A,N/A,"Documentary,Music","1,670"
I Am Not A Witch,"$50,868","$182,462",Film Movement,"$8,252",2,N/A,N/A,Drama,481
Around India with a Movie Camera,"$10,389","$11,568",Icarus Films,$183,1,N/A,N/A,Documentary,438
Rat Film,"$35,195","$35,195",The Cinema Guild,"$7,793",2,N/A,N/A,Documentary,473
Night of 7 Years,"$24,281","$3,716,820",CJ Entertainment,"$13,669",4,N/A,N/A,"Action,Drama,Thriller",270
To Die Is Hard,"$5,129","$5,129",Driving With Our Eyes Shut,$112,1,N/A,N/A,"Action,Comedy","2,937"
Le joli mai,"$55,038","$55,038",Icarus Films,"$10,662",3,N/A,N/A,Documentary,"1,936"
Realms,$147,"$22,443",The Film Arcade,$108,3,N/A,R,"Horror,Mystery",116
Nostalgia de la luz,"$163,962","$177,634",Icarus Films,"$5,664",1,N/A,N/A,Documentary,"2,910"
The Breadwinner,$834,"$2,426,907",GathrFilms,$834,1,N/A,PG-13,"Animation,Drama,Family,War",263
30 Years of Garbage: The Garbage Pail Kids Story,"$27,739","$27,739",Indican Pictures,"$5,030",2,N/A,N/A,Documentary,508
Bad Lucky Goat,"$5,088","$5,088",Film Movement,$170,3,N/A,N/A,"Comedy,Drama",445
Midget Zombie Takeover,"$11,006","$11,006",Driving With Our Eyes Shut,"$2,755",1,"$2,000",N/A,"Comedy,Horror","2,153"
The Legend of Hallowaiian,$451,"$53,738",Viva Pictures Distribution,N/A,N/A,N/A,PG,"Adventure,Animation,Family,Fantasy",77
Higher Power,$528,$528,Magnolia Pictures,$299,3,N/A,R,"Action,Sci-Fi,Thriller",235
The Ghosts of Johnson Woods,"$3,000","$3,000",Driving With Our Eyes Shut,N/A,N/A,N/A,N/A,"Horror,Thriller",760
Henchmen,"$1,469","$1,469",Entertainment One,$580,3,N/A,N/A,"Animation,Comedy",390
TVTV: Video Revolutionaries,$812,$812,First Run,$556,1,N/A,N/A,Documentary,74
33 & Beyond: The Royal Art of Freemasonry,"$16,533","$16,533",GathrFilms,N/A,N/A,N/A,N/A,Documentary,445
Two Men Went to War,"$1,227","$1,227",Indican Pictures,$185,1,N/A,PG,"Comedy,Drama,War",221
Under the Turban,"$1,190","$1,190",GathrFilms,N/A,N/A,N/A,N/A,Documentary,251
BOSTON: An American Running Story,"$19,499","$19,499",GathrFilms,N/A,N/A,N/A,N/A,Documentary,497
Gangsterdam,$954,"$2,697,522",Distrib Films,N/A,N/A,N/A,N/A,Comedy,104
Columbus,"$1,017,107","$1,093,077",Independent,"$26,820",2,N/A,N/A,Drama,515
Bronx Gothic,"$27,151","$27,151",Grasshopper Film,"$4,696",1,N/A,N/A,Documentary,536
Invisible Hands,"$1,034","$1,034",First Run,$456,1,N/A,N/A,Documentary,42
Beauty and the Beholder,"$1,368","$1,368",Reel One Entertainment,"$1,352",1,N/A,N/A,"Comedy,Drama,Romance",67
"Hare Krishna! The Mantra, the Movement and the Swami Who Started It","$19,278","$30,380",GathrFilms,N/A,N/A,N/A,N/A,Documentary,509
Guy,"$1,319","$1,257,937",Distrib Films,"$1,319",2,N/A,N/A,"Comedy,Drama,Music",21
I Still See You,"$1,359","$1,620,637",Lionsgate,$815,10,N/A,PG-13,"Fantasy,Thriller",81
The Thousand Faces of Dunjia,"$124,187","$46,263,237",Well Go USA Entertainment,"$57,837",27,N/A,N/A,"Action,Adventure,Fantasy",382
Altered Perception,"$1,259","$1,259",Cinedigm Entertainment Group,N/A,N/A,N/A,N/A,"Fantasy,Mystery,Sci-Fi,Thriller",242
That Way Madness Lies...,"$1,447","$1,447",First Run,$579,2,N/A,N/A,"Documentary,Drama",21
Tournament,"$4,942","$4,942",GathrFilms,N/A,N/A,N/A,N/A,"Adventure,Comedy,Fantasy,Music,Romance,Western",446
Marrowbone,"$1,377","$12,294,931",Magnolia Pictures,$624,7,N/A,R,"Drama,Horror,Mystery,Thriller",263
The Fencer,"$95,952","$599,537",CFI Releasing,"$5,572",2,N/A,N/A,"Biography,Drama,History,Sport",529
Permanent,"$12,847","$12,847",Magnolia Pictures,"$5,722",8,N/A,PG-13,Comedy,382
From the East,"$8,540","$8,540",Icarus Films,$564,1,N/A,N/A,Documentary,989
The Lost Village,"$1,780","$1,780",First Run,$840,1,N/A,N/A,Documentary,77
An Actor Prepares,"$1,743","$5,891",Gravitas Ventures,$933,25,N/A,N/A,Comedy,123
Signature Move,"$31,551","$31,551",Newcity,"$18,935",1,N/A,N/A,"Comedy,Drama,Romance",459
In Search of Fellini,"$12,772","$25,269",AMBI Distribution,"$10,796",3,N/A,R,"Adventure,Drama,Romance",473
A Wizard's Tale,"$2,150","$5,487,261",Blue Fox Entertainment,"$1,593",10,N/A,N/A,"Adventure,Animation,Comedy,Family,Fantasy",109
Finding Happiness,"$1,841","$1,841",GathrFilms,N/A,N/A,N/A,N/A,Documentary,270
10x10,"$2,263","$68,260",Vertical Entertainment,"$1,430",10,N/A,N/A,Thriller,263
Forever,"$31,502","$31,502",Icarus Films,"$5,202",1,N/A,N/A,Documentary,"4,129"
Last Men in Aleppo,"$14,637","$14,637",Grasshopper Film,"$1,505",1,N/A,N/A,"Documentary,War",606
West Of The Jordan River,"$1,926","$1,926",Kino Lorber,"$1,047",1,N/A,N/A,Documentary,340
The Swan,"$2,367","$62,716",Synergetic Distribution,$898,1,N/A,N/A,Drama,144
Charged: The Eduardo Garcia Story,"$15,920","$15,920",GathrFilms,N/A,N/A,N/A,N/A,"Action,Adventure,Biography,Documentary",454
Escapes,"$17,778","$17,778",Grasshopper Film,"$1,339",1,N/A,N/A,Documentary,522
The Cage Fighter,"$3,392","$3,392",IFC Films,"$1,204",2,N/A,N/A,"Action,Documentary,Drama",333
The Pact,"$2,488","$1,855,647",Sony Pictures Releasing,"$1,453",10,N/A,R,"Horror,Thriller",67
The Paris Opera,"$55,482","$781,039",Film Movement,"$7,709",4,N/A,N/A,Documentary,440
Kingsman: The Golden Circle,"$100,234,838","$410,902,662",Twentieth Century Fox,"$39,023,010","4,003","$104,000,000",R,"Action,Adventure,Comedy",466
The Second Time Around,"$3,837","$3,837",First Run,N/A,N/A,N/A,N/A,Romance,35
Shadowman,"$13,498","$13,498",Film Movement,"$4,113",1,N/A,N/A,"Biography,Documentary",396
At First Light,"$3,292","$26,338",Entertainment One,$274,5,N/A,N/A,"Drama,Sci-Fi,Thriller",95
Nana,"$2,784","$2,784",Fun Academy Motion Pictures,"$1,240",1,N/A,N/A,"Documentary,History,War",263
Straight Into a Storm,"$2,684","$2,684",Abramorama,"$1,964",1,N/A,N/A,"Biography,Documentary,Music",200
ACORN and the Firestorm,"$2,621","$2,621",First Run,"$2,621",1,N/A,N/A,Documentary,270
Tom of Finland,"$3,314","$15,483",GathrFilms,"$1,006",1,N/A,N/A,"Biography,Drama",312
Hot to Trot,"$3,133","$3,133",First Run,"$3,133",1,N/A,N/A,Documentary,130
Félicité,"$12,433","$265,495",Strand Releasing,"$1,713",1,N/A,N/A,"Drama,Music",431
Living Proof,"$9,512","$9,512",GathrFilms,N/A,N/A,N/A,N/A,"Biography,Documentary",480
Song Of Granite,"$16,182","$21,349",Oscilloscope,"$3,096",1,N/A,N/A,"Biography,Drama",412
Game Changers,"$3,142","$3,142",Ammo Content,"$3,142",1,N/A,N/A,Documentary,186
Brimstone & Glory,"$32,059","$36,036",Oscilloscope,"$2,125",1,N/A,N/A,Documentary,431
The Citizen,"$3,495","$3,495",ArtMattan Productions,N/A,N/A,N/A,N/A,Drama,179
Under The Wire,"$3,429","$23,897",Abramorama,"$2,271",2,N/A,R,Documentary,49
Followers,"$3,350","$3,350",Cinedigm Entertainment Group,N/A,N/A,N/A,N/A,Thriller,284
Porto,"$15,126","$90,849",Kino Lorber,"$2,090",1,N/A,N/A,"Drama,Romance",410
Fourplay,"$3,550","$3,550",Parade Deck Films,"$3,550",2,N/A,N/A,"Comedy,Drama",277
Nelly,"$3,751","$3,751",Cinema Libre Studio,"$1,304",1,N/A,N/A,Drama,116
The Family,"$3,696","$3,696",Film Movement,"$2,030",1,N/A,N/A,Drama,151
The Party's Just Beginning,"$4,145","$4,371",The Orchard,"$2,770",10,N/A,N/A,"Comedy,Drama",28
Armed,"$3,948","$3,948",GVN Releasing,"$2,227",10,N/A,R,"Action,Thriller",109
Frank and Ava,"$18,829","$18,829",Hannover House,"$3,080",1,N/A,N/A,"Biography,Drama,History",431
Miss Kiet's Children,"$9,384","$9,384",Icarus Films,"$2,035",2,N/A,N/A,Documentary,384
The Peacemaker,"$4,400","$4,400",Central Square Films,"$4,400",1,N/A,N/A,Documentary,326
Nocturama,"$30,157","$321,768",Grasshopper Film,"$5,402",3,N/A,N/A,"Drama,Thriller",508
Cocote,"$3,815","$4,224",Grasshopper Film,"$1,436",1,N/A,N/A,Drama,151
American Dresser,"$3,895","$3,895",Cinedigm Entertainment Group,"$2,211",11,N/A,N/A,"Adventure,Drama",102
Stella's Last Weekend,"$4,215","$4,215",Paladin,"$2,375",2,N/A,N/A,"Comedy,Drama",84
Status Update,"$4,764","$416,178",Vertical Entertainment,"$2,205",75,N/A,PG-13,"Comedy,Fantasy,Romance",277
Social Animals,"$5,007","$5,007",Vertical Entertainment,"$2,505",75,N/A,R,Comedy,214
The Other Side of Everything,"$4,685","$4,685",Icarus Films,$315,1,N/A,N/A,"Biography,Documentary",172
Wonderstruck,"$1,060,377","$3,285,916",Roadside Attractions,"$65,882",4,N/A,PG,"Drama,Mystery",438
Kangaroo,"$4,547","$12,626",Abramorama,"$2,282",2,N/A,N/A,Documentary,347
Weightless,"$4,461","$4,461",Great Point Media,"$2,515",2,N/A,R,Drama,56
Kickboxer: Retaliation,"$4,537","$101,690",Well Go USA Entertainment,"$3,061",10,N/A,R,"Action,Drama",340
Never Look Away,"$1,304,042","$5,083,864",Sony Pictures Classics,N/A,N/A,N/A,R,"Drama,History,Romance,Thriller",438
The Texture of Falling,"$5,010","$5,010",BloodSweatHoney,$676,1,N/A,N/A,Drama,214
Edward II,"$4,826","$11,055",Film Movement,"$1,701",1,N/A,R,"Drama,History,Romance",242
An L.A. Minute,"$5,004","$5,004",Strand Releasing,"$2,791",3,N/A,R,Comedy,130
The Long Dumb Road,"$4,667","$4,667",The Film Arcade,"$4,667",1,N/A,R,Comedy,56
Are We Not Cats,"$5,518","$5,518",Cleopatra Films,"$3,983",2,N/A,N/A,"Comedy,Horror,Romance",312
Dolores,"$555,309","$555,309",PBS Distribution,"$13,534",1,N/A,N/A,"Biography,Documentary,History",487
Notes on an Appearance,"$5,065","$5,065",Grasshopper Film,"$2,239",1,N/A,N/A,"Drama,Mystery,Thriller",137
12 Days,"$5,204","$722,049",Distrib Films,$923,1,N/A,N/A,Documentary,291
Intersection,"$5,116","$5,116",Indican Pictures,"$1,940",2,N/A,N/A,"Crime,Drama,Mystery,Romance,Thriller",200
I Am MLK Jr.,"$5,918","$5,918",GathrFilms,N/A,N/A,N/A,N/A,"Biography,Documentary",243
Women Like Us,"$25,859","$25,859",GathrFilms,N/A,N/A,N/A,N/A,Documentary,481
One Last Thing,"$6,232","$6,232",Fathom Events,N/A,N/A,N/A,N/A,Drama,202
Postcards from London,"$5,312","$15,548",Strand Releasing,"$2,686",1,N/A,N/A,Drama,418
Cuban Food Stories,"$5,434","$5,434",First Run,"$3,032",1,N/A,N/A,Documentary,144
"Distant Voices, Still Lives","$5,234","$33,301",Arrow Films,"$2,395",1,N/A,N/A,"Drama,Music",123
In Searching,"$5,210","$5,210",Indican Pictures,"$3,090",2,N/A,N/A,"Adventure,Drama,Western",56
Chavela,"$148,666","$272,842",Music Box Films,"$22,453",4,N/A,N/A,"Biography,Documentary,History,Music",454
Aida's Secrets,"$98,468","$98,468",Music Box Films,"$5,665",1,N/A,N/A,Documentary,438
Bill Nye: Science Guy,"$74,909","$74,909",PBS Distribution,"$7,005",1,N/A,N/A,Documentary,431
Duck Butter,"$6,877","$6,877",The Orchard,"$2,797",2,N/A,N/A,"Comedy,Drama,Romance",249
The Quake,"$6,235","$13,747,547",Magnolia Pictures,"$3,256",7,N/A,PG-13,"Action,Drama,Thriller",21
Of Fathers and Sons,"$12,579","$12,579",Kino Lorber,$340,1,N/A,N/A,"Documentary,War",452
School of Life,"$6,300","$14,880,497",Distrib Films,N/A,N/A,N/A,N/A,"Comedy,Drama,Family",119
Defining Hope,"$15,788","$15,788",GathrFilms,N/A,N/A,N/A,N/A,Documentary,424
On the Beach at Night Alone,"$37,489","$429,159",The Cinema Guild,"$7,594",1,N/A,N/A,Drama,410
An Evening with Beverly Luff Linn,"$6,701","$27,359",The Film Arcade,"$5,212",16,N/A,R,"Comedy,Crime",74
A Whale of a Tale,"$6,747","$6,747",Fine Line Media,N/A,N/A,N/A,N/A,Documentary,137
Shoah: Four Sisters,"$7,323","$7,323",Cohen Media Group,"$2,840",1,N/A,N/A,"Documentary,History",51
Ex Libris: New York Public Library,"$158,192","$198,239",Zipporah Films,"$10,926",1,N/A,N/A,Documentary,475
Calling All Earthlings,"$6,756","$6,756",Carpe Stella,N/A,N/A,N/A,N/A,"Documentary,History,Sci-Fi",186
The Lodgers,"$7,362","$916,727",Epic Pictures Group,"$5,053",17,N/A,R,"Drama,Horror,Romance,Thriller",312
This is Congo,"$7,051","$8,905",Abramorama,"$3,690",1,N/A,N/A,"Documentary,History,War",186
In Echo Park,"$7,072","$7,072",Indican Pictures,"$4,222",2,N/A,N/A,"Crime,Drama",84
In the Land of Pomegranates,"$7,014","$7,014",First Run,"$3,072",1,N/A,N/A,Documentary,361
Painless,"$7,082","$7,082",Indican Pictures,"$2,958",2,N/A,N/A,"Drama,Thriller",105
Spiral,"$8,190","$8,190",Cohen Media Group,"$3,258",2,N/A,N/A,Documentary,193
The Clovehitch Killer,"$8,208","$167,994",IFC Films,"$5,175",26,N/A,N/A,"Crime,Drama,Mystery,Thriller",49
Tall: The American Skyscraper and Louis Sullivan,"$7,216","$7,216",The Cinema Guild,"$7,216",1,N/A,N/A,Documentary,347
Summer of '67,"$8,941","$8,941",Mainstreet Productions,"$5,400",1,N/A,N/A,"Drama,History,Romance",189
Blood Feast,"$8,708","$8,708",Hannover House,"$4,046",1,"$1,200,000",R,Horror,270
Step Up: High Water,"$9,005","$9,005",Fathom Events,N/A,N/A,N/A,N/A,"Drama,Music",336
Spettacolo,"$32,494","$32,494",Grasshopper Film,"$4,403",2,N/A,N/A,Documentary,480
El Mar La Mar,"$9,065","$9,065",The Cinema Guild,"$3,375",1,N/A,N/A,Documentary,312
Legend of the Mountain,"$7,640","$7,640",Kino Lorber,N/A,N/A,N/A,N/A,"Fantasy,Horror,Mystery",333
Dark River,"$7,714","$239,182",FilmRise,"$4,246",2,N/A,N/A,"Drama,Mystery,Thriller",186
The Crime of Monsieur Lange,"$36,438","$38,002",Rialto Pictures,"$9,633",1,N/A,N/A,"Comedy,Crime,Drama",410
Un traductor,"$13,509","$78,075",Film Movement,"$4,412",1,N/A,N/A,Drama,480
Beauty and the Dogs,"$8,915","$167,723",Oscilloscope,"$3,055",2,N/A,N/A,"Crime,Drama,Thriller",284
Please Stand By,"$9,868","$406,732",Magnolia Pictures,"$4,090",5,N/A,PG-13,"Comedy,Drama",340
Zoo Wars,"$8,998","$8,998",Parade Deck Films,"$8,998",12,N/A,N/A,"Animation,Comedy,Sci-Fi",249
Survivors Guide To Prison,"$8,982","$8,982",Gravitas Ventures,"$8,982",4,N/A,N/A,Documentary,312
Dying to Know: Ram Dass & Timothy Leary,"$16,397","$16,397",GathrFilms,N/A,N/A,N/A,N/A,"Biography,Documentary,History,News",708
Strangers on the Earth,"$9,518","$9,518",First Run,"$3,768",1,N/A,N/A,Documentary,242
That Summer,"$34,556","$44,659",IFC Films,"$5,977",1,N/A,N/A,Documentary,228
The Quest of Alain Ducasse,"$9,627","$9,627",Magnolia Pictures,"$2,711",1,N/A,N/A,Documentary,207
River Runs Red,"$9,893","$61,789",Cinedigm Entertainment Group,"$6,349",20,N/A,N/A,Thriller,56
Wedding Party 2,"$11,140","$109,459",IronFlix,"$4,905",2,N/A,N/A,Comedy,321
Furious,"$9,996","$10,433,259",Carusel,"$6,964",15,N/A,N/A,"Action,Drama,History,War",256
Bullitt County,"$11,257","$11,257",Mr. Pictures,"$6,511",9,N/A,N/A,"Action,Drama,Thriller",70
Embrace: The Documentary,"$629,126","$1,155,263",GathrFilms,N/A,N/A,N/A,N/A,Documentary,834
Mama Africa,"$10,430","$10,430",ArtMattan Productions,"$3,495",1,N/A,N/A,"Biography,Documentary,Music",347
Sicilian Ghost Story,"$15,285","$204,892",Strand Releasing,"$4,324",1,N/A,N/A,"Crime,Drama,Fantasy,Mystery,Romance",438
Heavy Trip,"$10,153","$22,460",Music Box Films,"$5,419",16,N/A,N/A,"Comedy,Music",91
Class Rank,"$10,452","$10,452",Cinedigm Entertainment Group,N/A,N/A,N/A,N/A,"Comedy,Family,Romance",235
Rendezvous in July,"$11,321","$11,321",Rialto Pictures,"$6,080",1,N/A,N/A,"Comedy,Drama",153
The Advocates,"$10,402","$10,402",Cinema Libre Studio,"$4,355",1,N/A,N/A,Documentary,74
The Samuel Project,"$161,565","$161,565",in8 Releasing,"$11,087",2,N/A,PG-13,Drama,501
The Assassin's Code,"$11,218","$53,940",Gravitas Ventures,"$11,218",12,N/A,N/A,"Action,Crime,Drama,Thriller",235
Summer '03,"$11,746","$11,746",Blue Fox Entertainment,"$4,174",2,N/A,N/A,"Comedy,Drama,Romance",95
Les Parents Terribles,"$11,818","$11,818",Cohen Media Group,"$5,332",1,N/A,N/A,Drama,221
Victoria & Abdul,"$22,245,070","$66,558,465",Focus Features,"$158,845",4,N/A,PG-13,"Biography,Drama,History",466
The Public Image is Rotten,"$11,293","$14,464",Abramorama,"$8,052",1,N/A,N/A,Documentary,109
The Most Unknown,"$12,119","$12,119",Abramorama,"$2,905",1,N/A,N/A,Documentary,228
Souvenir,"$11,411","$359,798",Strand Releasing,"$2,267",1,N/A,N/A,"Drama,Music,Romance",305
Hannah,"$11,700","$146,325",Parade Deck Films,"$11,700",2,N/A,N/A,Drama,298
